LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Wärmebehandlung	HeatTreatmentProcess	Class	https://w3id.org/pmd/co/HeatTreatmentProcess			
wasInformedBy	wasInformedBy	ObjectProperty	http://www.w3.org/ns/prov#wasInformedBy			
Äquivalentdurchmesser	FeretDiameter	Class	https://w3id.org/pmd/co/FeretDiameter			
Testing Rate	TestingRate	Class	https://w3id.org/pmd/co/TestingRate			
composes	composes	ObjectProperty	https://w3id.org/pmd/co/composes			
wasDerivedFrom	wasDerivedFrom	ObjectProperty	http://www.w3.org/ns/prov#wasDerivedFrom			
Date	Date	Class	https://w3id.org/pmd/co/Date			
Digital Material Identifier	DigitalMaterialIdentifier	Class	http://w3id.org/DMI/DigitalMaterialIdentifier			
next process	nextProcess	ObjectProperty	https://w3id.org/pmd/co/nextProcess	has next process		
Medium	Medium	Class	https://w3id.org/pmd/co/Medium			
Distance	Distance	Class	https://w3id.org/pmd/co/Distance			
requires discussion	IAO_0000428	Individual	http://purl.obolibrary.org/obo/IAO_0000428			
Calibration Document	CalibrationDocument	Class	https://w3id.org/pmd/co/CalibrationDocument			
Material Property	MaterialProperty	Class	https://w3id.org/pmd/co/MaterialProperty			
Role	Role	Class	http://www.w3.org/ns/prov#Role			
wasUsedBy	wasUsedBy	ObjectProperty	http://www.w3.org/ns/prov#wasUsedBy			
p1	p1	Entity	https://w3id.org/pmd/co/p1			
pending final vetting	IAO_0000125	Individual	http://purl.obolibrary.org/obo/IAO_0000125			
isRuleEnabled	isRuleEnabled	AnnotationProperty	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled			
Extensometer	Extensometer	Class	https://w3id.org/pmd/co/Extensometer			
Extensometer-Dehnung	PercentageExtension	Class	https://w3id.org/pmd/co/PercentageExtension	(engineering) strain | technische Dehnung		
Stress	Stress	Class	https://w3id.org/pmd/co/Stress			
hasSource	hasSource	ObjectProperty	http://www.w3.org/ns/oa#hasSource			
Area	Area	Class	https://w3id.org/pmd/co/Area			
Bernd Bayerlein	0000-0002-3717-7104	Entity	https://orcid.org/0000-0002-3717-7104			
value	value	DatatypeProperty	https://w3id.org/pmd/co/value			
characteristic of	characteristicOf	ObjectProperty	https://w3id.org/pmd/co/characteristicOf	is characteristic of		
Elektronenmikroskop	ElectronMicroscope	Class	https://w3id.org/pmd/co/ElectronMicroscope			
Temperature	Temperature	Class	https://w3id.org/pmd/co/Temperature			
Fragment Selector	FragmentSelector	Class	http://www.w3.org/ns/oa#FragmentSelector			
example to be eventually removed	IAO_0000002	Individual	http://purl.obolibrary.org/obo/IAO_0000002			
Dataset	Dataset	Class	https://w3id.org/pmd/co/Dataset			
Gewichtete X Koordinate	WeightedXCoordinate	Class	https://w3id.org/pmd/co/WeightedXCoordinate			
Temperaturmesswerkzeug	TemperatureMeasuringDevice	Class	https://w3id.org/pmd/co/TemperatureMeasuringDevice			
Provided Identifier	ProvidedIdentifier	Class	https://w3id.org/pmd/co/ProvidedIdentifier			
Major axis diameter	MinorAxisDiameter	Class	https://w3id.org/pmd/co/MinorAxisDiameter			
Ort	Location	Class	https://w3id.org/pmd/co/Location			
hasSelector	hasSelector	ObjectProperty	http://www.w3.org/ns/oa#hasSelector			
Digital Material Identifier	DigitalMaterialIdentifier	Class	https://w3id.org/pmd/co/DigitalMaterialIdentifier			
Load cell capacity	LoadCellCapacity	Class	https://w3id.org/pmd/co/LoadCellCapacity			
Node Version	NodeVersion	Class	https://w3id.org/pmd/co/NodeVersion			
Description	Description	Class	https://w3id.org/pmd/co/Description			
Transformative Analysis Process	TransformativeAnalysisProcess	Class	https://w3id.org/pmd/co/TransformativeAnalysisProcess			
Adresse	Address	Class	https://w3id.org/pmd/co/Address			
Kristalline Struktur	CrystallineStructure	Class	https://w3id.org/pmd/co/CrystallineStructure			
Aging Temperature	AgingTemperature	Class	https://w3id.org/pmd/co/AgingTemperature			
generated	generated	ObjectProperty	http://www.w3.org/ns/prov#generated			
p3	p3	Entity	https://w3id.org/pmd/co/p3			
Engineered Material	EngineeredMaterial	Class	https://w3id.org/pmd/co/EngineeredMaterial			
title	title	AnnotationProperty	http://purl.org/dc/elements/1.1/title			
Materialqualität	MaterialQuality	Class	https://w3id.org/pmd/co/MaterialQuality			
Object	Object	Class	https://w3id.org/pmd/co/Object			
Non Transformative Analysis Process	NonTransformativeAnalysisProcess	Class	https://w3id.org/pmd/co/NonTransformativeAnalysisProcess			
Initiator	Initiator	Class	https://w3id.org/pmd/co/Initiator			
Assemblierungsprozess	AssemblingProcess	Class	https://w3id.org/pmd/co/AssemblingProcess			
Wärmekapazität	HeatCapacity	Class	https://w3id.org/pmd/co/HeatCapacity			
InitiatorRole	InitiatorRole	Class	https://w3id.org/pmd/co/InitiatorRole			
Beschichtungsbezeichnung	CoatingDesignation	Class	https://w3id.org/pmd/co/CoatingDesignation			
Computerknoten	ComputingNode	Class	https://w3id.org/pmd/co/ComputingNode			
Y Coordinate	YCoordinate	Class	https://w3id.org/pmd/co/YCoordinate			
Prozessidentifikator	ProcessIdentifier	Class	https://w3id.org/pmd/co/ProcessIdentifier			
has curation status	IAO_0000114	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114			
metadata complete	IAO_0000120	Individual	http://purl.obolibrary.org/obo/IAO_0000120			
