LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Material Property	MaterialProperty	Class	https://w3id.org/pmd/co/MaterialProperty			
boolean	boolean	Entity	http://www.w3.org/2001/XMLSchema#boolean			
organizational term	IAO_0000121	Entity	http://purl.obolibrary.org/obo/IAO_0000121			
Set Point	SetPoint	Class	https://w3id.org/pmd/co/SetPoint			
Object	Object	Class	https://w3id.org/pmd/co/Object			
co	co	Entity	https://w3id.org/pmd/co			
value	value	DatatypeProperty	https://w3id.org/pmd/co/value			
definition	definition	AnnotationProperty	http://www.w3.org/2004/02/skos/core#definition			
requires discussion	IAO_0000428	Entity	http://purl.obolibrary.org/obo/IAO_0000428			
composes	composes	ObjectProperty	https://w3id.org/pmd/co/composes			
definitionSource	definitionSource	AnnotationProperty	https://w3id.org/pmd/co/definitionSource			
IAO_0000117	IAO_0000117	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117			
ready for release	IAO_0000122	Entity	http://purl.obolibrary.org/obo/IAO_0000122			
input of	inputOf	ObjectProperty	https://w3id.org/pmd/co/inputOf	is input of		
string	string	Entity	http://www.w3.org/2001/XMLSchema#string			
wasDerivedFrom	wasDerivedFrom	ObjectProperty	http://www.w3.org/ns/prov#wasDerivedFrom			
isRuleEnabled	isRuleEnabled	AnnotationProperty	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled			
participant	participant	ObjectProperty	https://w3id.org/pmd/co/participant	has participant		
label	label	Entity	http://www.w3.org/2000/01/rdf-schema#label			
input	input	ObjectProperty	https://w3id.org/pmd/co/input	has input		
IAO_0000111	IAO_0000111	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000111			
isDefinedBy	isDefinedBy	Entity	http://www.w3.org/2000/01/rdf-schema#isDefinedBy			
metadata complete	IAO_0000120	Entity	http://purl.obolibrary.org/obo/IAO_0000120			
to be replaced with external ontology term	IAO_0000423	Entity	http://purl.obolibrary.org/obo/IAO_0000423			
characteristic of	characteristicOf	ObjectProperty	https://w3id.org/pmd/co/characteristicOf	is characteristic of		
composed of	composedOf	ObjectProperty	https://w3id.org/pmd/co/composedOf			
IAO_0000119	IAO_0000119	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119			
Primärdaten	PrimaryData	Class	https://w3id.org/pmd/co/PrimaryData			
Materialbezug	MaterialRelated	Class	https://w3id.org/pmd/co/MaterialRelated			
Secondary Data	SecondaryData	Class	https://w3id.org/pmd/co/SecondaryData			
participant of	participantOf	ObjectProperty	https://w3id.org/pmd/co/participantOf	is participant of		
IAO_0000115	IAO_0000115	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115			
Measurement	Measurement	Class	https://w3id.org/pmd/co/Measurement			
IAO_0000114	IAO_0000114	Entity	http://purl.obolibrary.org/obo/IAO_0000114			
example	example	AnnotationProperty	http://www.w3.org/2004/02/skos/core#example			
altLabel	altLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#altLabel			
comment	comment	Entity	http://www.w3.org/2000/01/rdf-schema#comment			
Wertobjekt	ValueObject	Class	https://w3id.org/pmd/co/ValueObject			
pending final vetting	IAO_0000125	Entity	http://purl.obolibrary.org/obo/IAO_0000125			
output of	outputOf	ObjectProperty	https://w3id.org/pmd/co/outputOf	is output of		
Metadaten	Metadata	Class	https://w3id.org/pmd/co/Metadata			
output	output	ObjectProperty	https://w3id.org/pmd/co/output	has output		
characteristic	characteristic	ObjectProperty	https://w3id.org/pmd/co/characteristic	has characteristic		
metadata incomplete	IAO_0000123	Entity	http://purl.obolibrary.org/obo/IAO_0000123			
PlainLiteral	PlainLiteral	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral			
uncurated	IAO_0000124	Entity	http://purl.obolibrary.org/obo/IAO_0000124			
example to be eventually removed	IAO_0000002	Entity	http://purl.obolibrary.org/obo/IAO_0000002			
