LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
Arbeitsschritt	ProcessingStep	Class	http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep			
realizable entity	BFO_0000017	Class	http://purl.obolibrary.org/obo/BFO_0000017			
starts with	RO_0002224	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002224	started by		
string	string	Entity	http://www.w3.org/2001/XMLSchema#string			
Activity	Activity	Class	http://www.w3.org/ns/prov#Activity			
altLabel	altLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#altLabel			
hat Teil	BFO_0000051	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051			
prefLabel	prefLabel	AnnotationProperty	http://www.w3.org/2004/02/skos/core#prefLabel			
PlainLiteral	PlainLiteral	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral			
definition	definition	AnnotationProperty	http://www.w3.org/2004/02/skos/core#definition			
editorialNote	editorialNote	AnnotationProperty	http://www.w3.org/2004/02/skos/core#editorialNote			
Prozess	BFO_0000015	Class	http://purl.obolibrary.org/obo/BFO_0000015			
part of	BFO_0000050	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050			
ist Voraussetzung für Schritt	BFO_0000063	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000063			
seeAlso	seeAlso	Entity	http://www.w3.org/2000/01/rdf-schema#seeAlso			
ends with	RO_0002230	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002230	finished by		
		Entity	http://w3id.org/nfdi4ing/metadata4ing#			
closeMatch	closeMatch	AnnotationProperty	http://www.w3.org/2004/02/skos/core#closeMatch			
